"","r_sq","corr","p_value"
"fixed.acidity",0.0153888116477105,-0.0767432079096199,6.49563500927866e-07
"volatile.acidity",0.152535379724748,-0.265699477611468,2.05171480701244e-59
"citric.acid",0.0512445152386719,0.0855317171836785,4.99129525050604e-20
"residual.sugar",0.000188557864039096,-0.0369804845857694,0.583218013158034
"chlorides",0.0166169011930002,-0.200665500435102,2.31338265405859e-07
"free.sulfur.dioxide",0.00256603613553544,0.0554630586166326,0.0428339795081413
"total.sulfur.dioxide",0.0342621169606877,-0.0413854538556088,8.62170342365699e-14
"density",0.0305967362483321,-0.305857906069414,1.87495665199544e-12
"pH",0.00333291353050893,0.0195057037144359,0.0209627786514692
"sulphates",0.063200491364556,0.0384854458765144,1.80208845345373e-24
"alcohol",0.226734368112754,0.444318520007654,2.83147697476906e-91
